name_vacancy,URL,name_company,zp_min,zp_max
Backend-разработчик,https://hh.ru/vacancy/32700404?query=python," АЙНЬЮС, OOO",150000,250000 
Scala/Java Developer,https://hh.ru/vacancy/34188911?query=python,ООО Альтуэра Лабс,120000,170000 
Android Reverse Engineer,https://hh.ru/vacancy/33806372?query=python, Postuf,150000,350000 
Младший бэк-энд разработчик (Python),https://hh.ru/vacancy/31240024?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,80000,110000 
Тестировщик (QA manager),https://hh.ru/vacancy/34188818?query=python,ООО АТАЛАН,50000,75000 
Разработчик,https://hh.ru/vacancy/34182657?query=python,ООО Новейшие Цифровые Технологии,75000,120000 
Инженер в группу технической поддержки систем хранения данных,https://hh.ru/vacancy/33899453?query=python, Марвел Дистрибуция,90000,125000 
Frontend-разработчик (React),https://hh.ru/vacancy/33628292?query=python,ООО РАБЛЗ,80000,180000 
Инженер-программист ( front-end developer ) junior/middle,https://hh.ru/vacancy/32697772?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,100000,140000 
Инженер (Информационная безопасность),https://hh.ru/vacancy/33393104?query=python, АМТ-ГРУП,115000,160000 
